skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
micro,micro,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Expert guidance for micro — asynchronous HTTP microservices framework by Vercel. Use when building lightweight HTTP servers, API endpoints, or microservices using the micro library.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,3975
microsoft-azure-webjobs-extensions-authentication-events-dotnet,microsoft-azure-webjobs-extensions-authentication-events-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,"Microsoft Entra Authentication Events SDK for .NET. Azure Functions triggers for custom authentication extensions. Use for token enrichment, custom claims, attribute collection, and OTP customization in Entra ID. Triggers: ""Authentication E","Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,15054
microsoft-docs,microsoft-docs,D - UI/UX,P2,"Understand Microsoft technologies by querying official documentation. Use whenever the user asks how something works, wants tutorials, needs configuration options, limits, quotas, or best practices for any Microsoft technology (Azure, .NET,","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling,Keep for UI work,2891
microsoft-foundry,microsoft-foundry,D - UI/UX,P2,"Deploy, evaluate, fine-tune, and manage Foundry agents end-to-end with azd: hosted agent scaffold/run/deploy, prompt agent create, batch eval, continuous eval, prompt optimizer, Agent Optimizer scaffold, agent.yaml, dataset curation from tr","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep for UI work,25956
finetuning,microsoft-foundry/finetuning,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Fine-tune models on Microsoft Foundry using SFT (supervised), DPO (preference), or RFT (reinforcement with graders). Covers dataset preparation, training job submission, deployment, and evaluation. USE FOR: fine-tune, SFT, DPO, RFT, trainin","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,5501
deploy-model,microsoft-foundry/models/deploy-model,G - DUPLICATE / OVERLAPPING,P3,"Unified Azure OpenAI model deployment skill with intelligent intent-based routing. Handles quick preset deployments, fully customized deployments (version/SKU/capacity/RAI policy), and capacity discovery across regions and projects. USE FOR",Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling,Prefer parent/provider router; disable only if trigger noise appears,7187
capacity,microsoft-foundry/models/deploy-model/capacity,G - DUPLICATE / OVERLAPPING,P3,"Discovers available Azure OpenAI model capacity across regions and projects. Analyzes quota limits, compares availability, and recommends optimal deployment locations based on capacity requirements. USE FOR: find capacity, check quota, wher",Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling,Prefer parent/provider router; disable only if trigger noise appears,6952
customize,microsoft-foundry/models/deploy-model/customize,G - DUPLICATE / OVERLAPPING,P3,"Interactive guided deployment flow for Azure OpenAI models with full customization control. Step-by-step selection of model version, SKU (GlobalStandard/Standard/ProvisionedManaged), capacity, RAI policy (content filter), and advanced optio",Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling; global/local config,Prefer parent/provider router; disable only if trigger noise appears,8941
preset,microsoft-foundry/models/deploy-model/preset,G - DUPLICATE / OVERLAPPING,P3,"Intelligently deploys Azure OpenAI models to optimal regions by analyzing capacity across all available regions. Automatically checks current region first and shows alternatives if needed. USE FOR: quick deployment, optimal region, best reg",Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling,Prefer parent/provider router; disable only if trigger noise appears,4907
minimal-plugin-skill,minimal-plugin-skill,B - TASK-TRIGGERED,P2,Minimal plugin skill fixture. Use when a test needs a valid plugin skill.,Use only when its described task is active.,Occasional,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand,210
minimal-skill,minimal-skill,B - TASK-TRIGGERED,P2,Minimal example skill for plugin-eval tests. Use when the user wants a compact demonstration of a well-structured skill.,Use only when its described task is active.,Occasional,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand,442
mixpanel-auth,mixpanel-auth,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Manage Mixpanel Headless authentication: check session state, list/add/use accounts, run OAuth login, switch projects/workspaces, manage targets, and check bridge credentials.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,9839
mixpanelyst,mixpanelyst,F - DOMAIN-SPECIFIC / FUTURE,P3,"This skill should be used when the user asks about Mixpanel product analytics, event data, funnel analysis, retention curves, cohort analysis, segmentation queries, user behavior, conversion rates, churn, DAU/MAU, ARPU, revenue metrics, fea","Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Park for future integrations,58887
modern-python,modern-python,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Configures Python projects with modern tooling (uv, ruff, ty). Use when creating projects, writing standalone scripts, or migrating from pip/Poetry/mypy/black.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,9927
moody-s-company-analysis,moody-s-company-analysis,H - IRRELEVANT TO FLOW,P4,"Use when the user asks for Moody's company profiles, ownership, ratings, credit opinions, financial statements, filings, peers, research, or credit-risk analysis for a company.",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,2672
moody-s-earnings-brief,moody-s-earnings-brief,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,shell/package execution; credential handling,Candidate to disable after approval; review before use with credentials or shell access,32217
moody-s-explore-mcp,moody-s-explore-mcp,H - IRRELEVANT TO FLOW,P4,"Discover and safely explore Moody's MCP tools. Use when the user wants to see what Moody's data is available, verify MCP connectivity, look up an entity, or run a lightweight ratings/research probe before deeper analysis.",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,credential handling; broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,3683
moody-s-issuer-brief,moody-s-issuer-brief,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Candidate to disable after approval; review before use with credentials or shell access,45721
moody-s-peer-analysis,moody-s-peer-analysis,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,61046
moody-s-rating-analysis,moody-s-rating-analysis,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,23070
moody-s-sector-brief,moody-s-sector-brief,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,19055
morning-briefing,morning-briefing,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Generates a morning briefing that triages your inbox and previews your day using the Superhuman Mail MCP server — acting as an AI chief of staff. Use this skill whenever someone asks to ""brief me on my day"", ""triage my inbox"", ""what's impor","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,broad external access,Keep on-demand for infra/deploy,5677
mutation-testing,mutation-testing,H - IRRELEVANT TO FLOW,P4,"Configures mewt or muton mutation testing campaigns — scopes targets, tunes timeouts, and optimizes long-running runs. Use when the user mentions mewt, muton, mutation testing, or wants to configure or optimize a mutation testing campaign.",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2849
native-data-fetching,native-data-fetching,D - UI/UX,P2,"Use when implementing or debugging ANY network request, API call, or data fetching. Covers fetch API, React Query, SWR, error handling, caching, offline support, and Expo Router data loaders (`useLoaderData`).","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW-MEDIUM,remote dynamic instructions; credential handling; global/local config,Keep for UI work,11641
